title,location,price_final_pen,bedroom,bathroom,area,year_contruction,maintenance_num,housing_type,operation_type
Apartamento en alquiler en Provincia de Lima,"Provincia de Lima, Provincia de Lima ",1250.0,3 dormitorios,2 baños,84 m²,2022,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Lobaton,"Ur. Lobaton, Lince, Lima, Lima ",2400.0,1 dormitorio,1 baño,46 m²,2022,170.0,Apartamento,Alquiler
Casa en alquiler en San Isidro,"San Isidro, Lima, Lima ",4050.0,3 dormitorios,3 baños,214 m²,2002,450.0,Casa,Alquiler
Apartamento en alquiler en Hu. Cercado De Miraflores,"Hu. Cercado De Miraflores, Miraflores, Lima, Lima ",2550.0,2 dormitorios,3 baños,84 m²,2015,317.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Confraternidad,"Ur. Confraternidad, Barranco, Lima, Lima ",2940.0,3 dormitorios,2 baños,96 m²,2020,360.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Pedregal De Higuereta(San Atanacio De Pedregal),"Ur. Pedregal De Higuereta(San Atanacio De Pedregal), Surquillo, Lima, Lima ",2300.0,2 dormitorios,2 baños,70 m²,2023,170.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Pedregal De Higuereta(San Atanacio De Pedregal),"Ur. Pedregal De Higuereta(San Atanacio De Pedregal), Surquillo, Lima, Lima ",1800.0,1 dormitorio,1 baño,56 m²,2023,150.0,Apartamento,Alquiler
Apartamento en alquiler en Iquitos,"Iquitos, Maynas, Loreto ",1200.0,2 dormitorios,1 baño,54 m²,2022,304.0,Apartamento,Alquiler
Casa en alquiler en Carabayllo,"Carabayllo, Lima, Lima ",900.0,2 dormitorios,1 baño,140 m²,2016,304.0,Casa,Alquiler
Apartamento en alquiler en Ur. Santa Beatriz,"Ur. Santa Beatriz, Jesús María, Lima, Lima ",1800.0,1 dormitorio,1 baño,50 m²,2022,304.0,Apartamento,Alquiler
Apartamento en alquiler en Surquillo,"Surquillo, Lima, Lima ",2200.0,1 dormitorio,1 baño,43 m²,2018,150.0,Apartamento,Alquiler
Casa en alquiler en Chiclayo,"Chiclayo, Chiclayo, Lambayeque ",1500.0,2 dormitorios,2 baños,150 m²,2009,304.0,Casa,Alquiler
Apartamento en alquiler en Ur. Las Gardenias,"Ur. Las Gardenias, Santiago de Surco, Lima, Lima ",2350.0,2 dormitorios,2 baños,50 m²,2022,230.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Chacarilla Santa Cruz,"Ur. Chacarilla Santa Cruz, San Isidro, Lima, Lima ",2700.0,1 dormitorio,1 baño,45 m²,2023,250.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. San Antonio,"Ur. San Antonio, Miraflores, Lima, Lima ",2970.0,2 dormitorios,4 baños,126 m²,2021,450.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Orrantia,"Ur. Orrantia, San Isidro, Lima, Lima ",4140.0,3 dormitorios,2 baños,131 m²,2020,700.0,Apartamento,Alquiler
